STATE,COUNTY,NAME,OWNER,CITY,TYPE,PURPOSE,MGD MAX,START DESAL,DISPOSAL CONCENTRATE,WATER SOURCE,DESAL REASON / TREATMENT,CONCENTRATE POST-TREATMENT,DESAL DESIGN PRODUCTION (mgd),DESAL AVERAGE PRODUCTION (mgd),PLANT DESIGN PRODUCTION (mgd),PLANT AVERAGE PRODUCTION (mgd),BLENDING?,RAW WATER TDS OR CONDUCTIVITY,PRE-TREATMENT,FEED PRESSURE TO DESAL (psi),MEMBRANE RECOVERY (%),PERMEATE TDS OR CONDUCTIVITY,BLEND TDS OR CONDUCTIVITY,BLEND RATIO (PERMEATE : OTHER),BLEND WATER SOURCE,PERMEATE POST-TREATMENT,AGE OF MEMBRANE / LAST REPLACEMENT (yr),FATE OF WASTEWATER CLEANING,FATE OF WASTE BACKWASH,SOURCE SECTION,SOURCE EXCEL ROW
TX,Cameron,joines Road WTP,Military Highway Water Supply Corp..,San Benito,Reverse osmosis,Drinking water,1.44,2014,Surface water discharge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,TEXAS FACILITIES,65
TX,Parker,Bob Elder WTP,City of Milsap,Milsap,Microfiltration / reverse osmosis,Drinking water,none,2014,Surface water discharge,Surface water,none,none,none,none,none,none,yes,1255 mg/L TDS equivalent,"MF, cartridge filter, dechlorination, scaling control",148,none,none,none,none,none,"blending, pH adjustment, disinfection",none,none,none,TEXAS FACILITIES,66
TX,Howard,Big Spring Water Plant,Colorado River Municipal Water district,Big Spring,Microfiltration / reverse osmosis,Advanced treatment plant,2.38,2013,Surface water discharge,reclaimed water,draught dried up the lake water source; need for a new source for drinking water,none,2.38,1.2,2.38,1.2,no,1845 mg/L TDS equivalent,"MF, disinfection: UV, pH adjustment, scaling control",150,75,none,none,none,none,UV oxidation; 5-20% is blended with surface water from one of the reservoirs and then treated again at the Big Spring WTP; the rest goes to an industry,NA,none,none,TEXAS FACILITIES,67
TX,none,City of Roscoe WTP,City of Roscoe,Roscoe,Reverse osmosis,Drinking water,0.36,2013,Sewer discharge,Groundwater,"nitrates, hardness",none,0.36,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,TEXAS FACILITIES,68
TX,Hidalgo,Victoria Road RO Plant,North Alamo Supply Corp.,Donna,Reverse osmosis,Drinking water,2,2012,Surface water discharge,Groundwater,none,none,2.25,2.25,2,2,no,4000 mg/L TDS equivalent,cartridge filter,150,75,150,none,none,none,"degasification, pH adjustment, disinfection, anti-corrosion",none,none,none,TEXAS FACILITIES,69
TX,Hudspeth,Fort Hancock RO Plant 1,Fort Hancock Water Control & Improvement District,Fort Hancock,Reverse osmosis,Drinking water,0.43,2012,Evaporation pond,Groundwater,none,none,0.43,0.04,none,none,yes,none,cartridge filter,180,78,none,none,none,none,"pH adjustment, disinfection",none,none,none,TEXAS FACILITIES,70
TX,Knox,City of Benjamin RO WTP,City of Benjamin,Benjamin,Reverse osmosis,Drinking water,7.1999999999999995E-2,2012,Evaporation pond,Groundwater,none,none,none,none,7.1999999999999995E-2,5.7599999999999998E-2,yes,none,"cartridge filter, disinfection: chlorination/chloramination, oxidation",165,71,none,none,none,none,"blending, pH adjustment, antiscalant, disinfection",none,none,none,TEXAS FACILITIES,71
TX,Hildalgo,Progresso WTP,Military Highway Water Supply Corp.,Progresso,Microfiltration / reverse osmosis,Drinking water,0.52,2011,Surface water discharge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,TEXAS FACILITIES,72
TX,Aransas,Aransas Bay Utility WTP,"Aransas Bay Utilities Company, LLC",none,Reverse osmosis,Drinking water,0.2,2011,Surface water discharge,Groundwater,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,TEXAS FACILITIES,73
TX,Stephens,Stephans Regional SUD WTP,Stephens Regional Special Utility District,Breckenridge,Reverse osmosis,Drinking water,0.4,2010,Evaporation pond,Surface water (lake),none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,TEXAS FACILITIES,74
